name,slug,characteristics,difficulty,effect,ingredients,inventors,manufacturers,side_effects,time,wiki,image
Ageing Potion,ageing-potion,"Characteristics, Green, [1]","Difficulty level, Advanced, [1], [3]","Effect, Aged drinker temporarily, [1], [2]","Known ingredients, Newt spleens, [3], Bananas, [4], An orange, snake, [4], A green leaf, [4]",,,,,https://harrypotter.fandom.com/wiki/Ageing_Potion,https://static.wikia.nocookie.net/harrypotter/images/5/51/Ageing_Potion_PM.png
Alihotsy Draught,alihotsy-draught,"Characteristics, Blue fumes and colour, [1]",,"Effect, Uncontrollable laughter, [1], [2]","Known ingredients, Alihotsy, [1]",,,,,https://harrypotter.fandom.com/wiki/Alihotsy_Draught,https://static.wikia.nocookie.net/harrypotter/images/4/46/Alihotsy_Draught.png
Amortentia,amortentia,"Characteristics, Mother-of-pearl sheen, [1], Spiralling steam, [1], Scent was multi-faceted and varied based on what the person liked, [1]","Difficulty level, Advanced, [1]","Effect, Love potion, that caused a powerful infatuation or obsession in the drinker, [1]","Known ingredients, Pearl Dust, [2]",,,,,https://harrypotter.fandom.com/wiki/Amortentia,https://static.wikia.nocookie.net/harrypotter/images/4/4f/B6C9M1_cropped_Amortentia.png
Angel's Trumpet Draught,angel's-trumpet-draught,,,"Effect, Poisonous, [1]","Known ingredients, Angel's Trumpet, [1]",,,,,https://harrypotter.fandom.com/wiki/Angel's_Trumpet_Draught,https://static.wikia.nocookie.net/harrypotter/images/c/c8/Angels_Trumpet_Draught.JPG
Anti-Paralysis Potion,anti-paralysis-potion,"Characteristics, Pink in colour, [1], [2]",,"Effect, Cured paralysis, [1], [2]",,,,,,https://harrypotter.fandom.com/wiki/Anti-Paralysis_Potion,https://static.wikia.nocookie.net/harrypotter/images/a/aa/Anti-Paralysis_Potion.png
Antidote ,antidote,,,,,,,,,https://harrypotter.fandom.com/wiki/Antidote,
Antidote to Common Poisons,antidote-to-common-poisons,"Characteristics, Teal-coloured, [2]","Difficulty level, Beginner, [1], to Moderate, [2]","Effect, Counteracted the effects of common poisons, [1]","Known ingredients, 1, Bezoar, [1], 2 measures of, Standard Ingredient, [1], 1 pinch of powdered, unicorn horn, [1], 2, mistletoe berries, [1]",,,,,https://harrypotter.fandom.com/wiki/Antidote_to_Common_Poisons,https://static.wikia.nocookie.net/harrypotter/images/9/96/Antidote-to-common-poisons.png
Antidote to Uncommon Poisons,antidote-to-uncommon-poisons,"Characteristics, Green in colour, [1]","Difficulty level, Moderate, [1]","Effect, Cures the effects of minor, poisons, [1]","Known ingredients, Fire Seeds, [1], Powdered, graphorn horn, [1], Billywig stings, [1], Chizpurfle carapaces, [1]",,,,,https://harrypotter.fandom.com/wiki/Antidote_to_Uncommon_Poisons,https://static.wikia.nocookie.net/harrypotter/images/b/bd/Antidote_to_Uncommon_Poisons.png
Antidote to Veritaserum,antidote-to-veritaserum,,"Difficulty level, Advanced, [2]","Effect, Countered the effect of, Veritaserum, [1], [2]",,,,,,https://harrypotter.fandom.com/wiki/Antidote_to_Veritaserum,https://static.wikia.nocookie.net/harrypotter/images/3/3e/Antidote_to_Veritaserum_HM.png
Armadillo Bile Mixture,armadillo-bile-mixture,"Characteristics, Most likely corrosive, [1]",,,"Known ingredients, Bat wings, [1], Armadillo bile, [1], Wormwood, [1], Armotentia, [1], Acromantula venom, [1], Aconite, [1], Water, (likely)",,,,,https://harrypotter.fandom.com/wiki/Armadillo_Bile_Mixture,https://static.wikia.nocookie.net/harrypotter/images/0/0a/Armadillo_Bile_Mixture.jpg
Babbling Beverage,babbling-beverage,"Characteristics, Red, [3], or yellow, [4], in colour, Smelt like, bubblegum, [5]","Difficulty level, Moderate, [3], to, Ordinary Wizarding Level, [5]","Effect, Caused the drinker to speak nonsense, [1], [2], [3]","Known ingredients, Valerian, sprigs, [3], Aconite, [3], Dittany, [3]",,,,,https://harrypotter.fandom.com/wiki/Babbling_Beverage,https://static.wikia.nocookie.net/harrypotter/images/5/5d/HM_y3_Babbling_Beverage.png
Baneberry Potion,baneberry-potion,"Characteristics, Blood red, [1]",,"Effect, Poison, [1]","Known ingredients, Baneberry, [1]",,,,,https://harrypotter.fandom.com/wiki/Baneberry_Potion,https://static.wikia.nocookie.net/harrypotter/images/9/93/Baneberry_Potion.JPG
Baruffio's Brain Elixir,baruffio's-brain-elixir,"Characteristics, Green in colour, [2]",,"Effect, Allegedly increases one's, brain, power, [1], [2]","Known ingredients, Leaping Toadstools, [2], Frog brains, [2], [4], Runespoor eggs, [2], Powdered, dragon claw, [2], Oil, [4]","Inventor(s), Baruffio, [5]",,"Side-effects, Possibly harmful mental side effects if brewed incorrectly, [3]","Brewing time, Twelve hours, [2]",https://harrypotter.fandom.com/wiki/Baruffio's_Brain_Elixir,https://static.wikia.nocookie.net/harrypotter/images/8/8d/Baruffio%E2%80%99s_Brain_Elixir_HM.png
Beautification Potion,beautification-potion,"Characteristics, Changes colour, [1], Emits multi-colour bubbles, [1]","Difficulty level, Moderate, [2]","Effect, Enhances the attractiveness of the drinker's physical appearance, [1]","Known ingredients, Fairy wings, [1], [3], Morning dew, [1], Rose Petals, [1], Lady's Mantle, [1], [3], Unicorn hair, [1], Ginger, roots, [1], Boomslang skin, [2], [3]","Inventor(s), Zygmunt Budge, [1], Sacharissa Tugwood, [4]",,,,https://harrypotter.fandom.com/wiki/Beautification_Potion,https://static.wikia.nocookie.net/harrypotter/images/8/8b/Beautification_Potion_Bottle.png
Befuddlement Draught,befuddlement-draught,"Characteristics, Dark green, [2], or red, [3], or purple, [4], in colour","Difficulty level, Ordinary Wizarding Level, [1], [3]","Effect, Recklessness, [1]","Known ingredients, Scurvy grass, [1], Lovage, [1], [4], Sneezewort, [1], Frog brains, [4], Oil, [4]",,,,,https://harrypotter.fandom.com/wiki/Befuddlement_Draught,https://static.wikia.nocookie.net/harrypotter/images/d/d3/BefuddlementDraughtHM.png
Blood-Replenishing Potion,blood-replenishing-potion,"Characteristics, Dark red in colour, [2], [3]",,"Effect, Replenished lost, blood, [1]","Known ingredients, Standard potioning water, [4], Powdered unicorn horn, [4], Stewed Mandrake, [4]",,,,,https://harrypotter.fandom.com/wiki/Blood-Replenishing_Potion,https://static.wikia.nocookie.net/harrypotter/images/4/49/BloodReplenishingPotionHM.png
Bloodroot Poison,bloodroot-poison,,,"Effect, Poisonous, [1]","Known ingredients, Bloodroot, [1]",,,,,https://harrypotter.fandom.com/wiki/Bloodroot_Poison,https://static.wikia.nocookie.net/harrypotter/images/e/eb/Bloodroot_Poison.jpg
Bruise removal paste,bruise-removal-paste,"Characteristics, Thick, yellow paste, [1]",,"Effect, Healed, bruises in an hour, [1]",,"Inventor(s), Fred, and, George Weasley, [1]","Manufacturer, Fred, and, George Weasley, [1]",,,https://harrypotter.fandom.com/wiki/Bruise_removal_paste,
Bulgeye Potion,bulgeye-potion,"Characteristics, Emerald green in colour, [1]",,"Effect, Causes eyes to bulge (presumably), [1]",,,,,,https://harrypotter.fandom.com/wiki/Bulgeye_Potion,https://static.wikia.nocookie.net/harrypotter/images/2/25/Bulgeye.JPG
Bundimum Pomade,bundimun-pomade,,,"Effect, Hair care, [1]","Known ingredients, Bundimun Secretion, (most likely)",,"Manufacturer, E. M. L. Potions Co., [2]",,,https://harrypotter.fandom.com/wiki/Bundimun_Pomade,https://static.wikia.nocookie.net/harrypotter/images/8/86/BoxofBezoars.jpg
Bundimun Secretion,bundimun-secretion,"Physical characteristics, Lime green in colour, [2], Emits vapours, [3]",,,,,,,,https://harrypotter.fandom.com/wiki/Bundimun_Secretion,https://static.wikia.nocookie.net/harrypotter/images/a/a0/Ooze.JPG
Burn-healing paste,burn-healing-paste,"Characteristics, Orange in colour, [1], Thick consistency, [1]",,"Effect, Healed, burns, [1]",,,,,,https://harrypotter.fandom.com/wiki/Burn-Healing_Paste,
Burning Bitterroot Balm,burning-bitterroot-balm,"Characteristics, Blue-coloured, [1]",,"Effect, Soothing, [1]","Known ingredients, Bitter root, [1]",,,,,https://harrypotter.fandom.com/wiki/Burning_Bitterroot_Balm,https://static.wikia.nocookie.net/harrypotter/images/b/bc/Burning_Bitterroot_Balm.jpg
Calming Draught,calming-draught,"Characteristics, Blue or brown in colour, [2], [3]","Difficulty level, Moderate, [2], to Advanced, [3]","Effect, Calms the drinker, [1], [2], [3]","Known ingredients, Lavender, [3], Crocodile heart, [3], Peppermint, [3], [5]",,,"Side-effects, Unpleasant results if consumed by certain animals, [3], Burning mouth sensation, watery eyes or uncontrollable sobbing if too much, peppermint oil, added, [4], [5]",,https://harrypotter.fandom.com/wiki/Calming_Draught,https://static.wikia.nocookie.net/harrypotter/images/0/06/HM_y4_Calming_Draught.png
Caxambu Style Borborygmus Potion,caxambu-style-borborygmus-potion,,,"Effect, Provoked, stomach growling, [1]",,,"Manufacturer, Apothecary Department, [1]",,,https://harrypotter.fandom.com/wiki/Caxambu_Style_Borborygmus_Potion,https://static.wikia.nocookie.net/harrypotter/images/8/8a/Caxambu_Style_Borborygmus_Potion.jpg
Cheese-Based Potions,cheese-based-potions,"Characteristics, Yellow in colour, [1]","Difficulty level, Advanced, [1]",,"Known ingredients, Cheese, [1]",,,,,https://harrypotter.fandom.com/wiki/Cheese-Based_Potions,https://static.wikia.nocookie.net/harrypotter/images/3/39/Cheese_Based_Potion_HM_Icon.png
Chelidonium Miniscula,chelidonium-miniscula,"Characteristics, Dark yellow in colour, [1]",,,,,,,,https://harrypotter.fandom.com/wiki/Chelidonium_Miniscula,https://static.wikia.nocookie.net/harrypotter/images/e/e3/Chelidonium_Miniscula.jpg
Confidence boosting brew,confidence-boosting-brew,"Characteristics, Grey-green, [1]",,"Effect, Made the drinker more confident, [1]","Known ingredients, Those of the, Invigoration Draught, [1], Those of the, Wit-Sharpening Potion, [1], A few other ingredients, [1]","Inventor(s), Daniel Page, [1]","Manufacturer, Daniel Page, [1]",,,https://harrypotter.fandom.com/wiki/Confidence_boosting_brew,https://static.wikia.nocookie.net/harrypotter/images/f/fe/Confidence_boosting_brew_MA.png
Confusing Concotion,confusing-concoction,,"Difficulty level, Moderate, [1], to advanced, [2]","Effect, Confusion, [1], [2]","Known ingredients, Scurvy grass, [2], Lovage, [2], Sneezewort, [2]",,,,,https://harrypotter.fandom.com/wiki/Confusing_Concoction,https://static.wikia.nocookie.net/harrypotter/images/d/d6/Confusing_Concoction.jpeg
Contortion Potion,contortion-potion,,,"Effect, Induced contortion, [1]","Known ingredients, Spine of Lionfish, [1]","Inventor(s), William Weasley, (possibly), [1], Jacob's sibling, (possibly), [1]",,,,https://harrypotter.fandom.com/wiki/Contortion_Potion,
Cough Potion,cough-potion,,"Difficulty level, Advanced, [2]","Effect, Cured, coughing, [1], [2]",,,,,,https://harrypotter.fandom.com/wiki/Cough_potion,https://static.wikia.nocookie.net/harrypotter/images/6/6e/Cough_Potion_HM_Icon.png
Cupid Crystals,cupid-crystals,"Characteristics, Light pink colour",,"Effect, Causes the drinker to become infatuated with the giver of the potion, [1]","Known ingredients, Pearl Dust, [2]","Inventor(s), Fred and George Weasley, [1]",,,,https://harrypotter.fandom.com/wiki/Cupid_Crystals,https://static.wikia.nocookie.net/harrypotter/images/0/03/Cupid_Crystals.jpg
Cure for Boils,cure-for-boils,"Characteristics, Blue in colour, [1], [3], Emits pink smoke when completed, [1]","Difficulty level, Beginner, [1], [2], [3]","Effect, Removes boils, [1], [2], [3]","Known ingredients, 6, snake fangs, [1], [4], 4, horned slugs, [1], [4], 2, porcupine quills, [1], [4], Book of Potions, recipe:, Dried nettles, [4], Pungous Onions, [4], Flobberworm Mucus, [4], Ginger, root, [4], Shrake spines, [4]",,,"Side-effects, Caused nasty boils to erupt on skin if brewed badly, [2]",,https://harrypotter.fandom.com/wiki/Cure_for_Boils,https://static.wikia.nocookie.net/harrypotter/images/4/4b/Cure_for_Boils_2.png
Dawdle Draught,dawdle-draught,"Characteristics, Orange in colour, [1]",,"Effect, Helps deal with, Traces, [1]","Known ingredients, Valerian root, [1], Sopophorous bean, [1], Butterscotch, [1], Hermit crab shell, [1]",,,,"Brewing time, Six hours, [1]",https://harrypotter.fandom.com/wiki/Dawdle_Draught,https://static.wikia.nocookie.net/harrypotter/images/b/b6/Dawdle_Draught.png
Death-Cap Draught,death-cap-draught,"Characteristics, Red in colour, [1]",,"Effect, Poisonous, [1]","Known ingredients, Death-Cap, [1]",,,,,https://harrypotter.fandom.com/wiki/Death-Cap_Draught,https://static.wikia.nocookie.net/harrypotter/images/7/7f/Death-Cap_Draught.JPG
Death potion,death-potion,"Characteristics, Black in colour, [1]",,"Effect, Highly corrosive,, death, on contact, [1]",,,"Manufacturer, Magical Congress of the United States of America, (presumably), [1]",,,https://harrypotter.fandom.com/wiki/Death_potion,https://static.wikia.nocookie.net/harrypotter/images/3/3d/Death_Potion_FB1.png
Deflating Draught,deflating-draught,"Characteristics, Green in colour, [2]","Difficulty level, Ordinary Wizarding Level, [2]","Effect, Deflated the target, [1], [2]",,,,,,https://harrypotter.fandom.com/wiki/Deflating_Draught,https://static.wikia.nocookie.net/harrypotter/images/9/9b/Deflating_Draught_HM.png
Developing solution,developing-solution,,,"Effect, Develops moving photographs, [1], [2]",,,,,,https://harrypotter.fandom.com/wiki/Developing_solution,
Dizziness Draught,dizziness-draught,,,"Effect, Dizziness, [1]",,,,,,https://harrypotter.fandom.com/wiki/Dizziness_Draught,https://static.wikia.nocookie.net/harrypotter/images/3/37/Dizziness_Draught.jpg
Dogbane Potion,dogbane-potion,,,"Effect, Poisonous, to, dogs, (possibly), [1]","Known ingredients, Dogbane, (possibly), [1]",,,,,https://harrypotter.fandom.com/wiki/Dogbane_Potion,https://static.wikia.nocookie.net/harrypotter/images/e/e9/Dogbane_Potion.png
Dogbreath Potion,dogbreath-potion,"Characteristics, Purple-coloured, [1]",,"Effect, Gives drinker, fiery, breath, [1]",,,,,,https://harrypotter.fandom.com/wiki/Dogbreath_Potion,https://static.wikia.nocookie.net/harrypotter/images/6/68/Dogbreath_Potion.jpg
Doxycide,doxycide,"Characteristics, Black in colour, [1], Typically delivered as a spray, [1]","Difficulty level, Moderate, [2]","Effect, Temporarily stunned, Doxies, so that the pests could be removed from a home, [1]","Known ingredients, Bundimun Ooze, [3], Streeler shells, [3], Dragon liver, [3], Hemlock, essence, [3], Tormentil, tincture, [3], Cowbane, essence, [3]","Inventor(s), Zygmunt Budge, [3]",,,,https://harrypotter.fandom.com/wiki/Doxycide,https://static.wikia.nocookie.net/harrypotter/images/d/d1/Doxycide-potion-part-2.png
Dr Ubbly's Oblivious Unction,dr-ubbly's-oblivious-unction,,,"Effect, Healed wounds left by negative, thoughts, [1]",,"Inventor(s), Dr Ubbly, (presumably), [1]",,,,https://harrypotter.fandom.com/wiki/Dr_Ubbly's_Oblivious_Unction,
Dragon Poison,dragon-poison,"Characteristics, Dark green in colour, [1]",,"Effect, Poisonous, [1]",,,,,,https://harrypotter.fandom.com/wiki/Dragon_Poison,https://static.wikia.nocookie.net/harrypotter/images/9/92/Dragon_Poison.JPG
Dragon Tonic,dragon-tonic,,,"Effect, Cures sick, dragons, [1]","Known ingredients, 1, Eagle owl feather, [1], 3, Peacock feathers, [1], 3, Giant Purple Toad warts, [1]",,,,,https://harrypotter.fandom.com/wiki/Dragon_Tonic,
Dragon dung fertiliser,dragon-dung-fertiliser,"Characteristics, Light green in colour, [1]","Difficulty level, Moderate/Advanced, [1]","Effect, Promotes the growth of plants, [1]","Known ingredients, Sloth brain, [1], 7 pieces of, Dragon dung, [1], Stewed Mandrake, [1], 2, rat spleens, [1], Toasted, dragonfly thoraxes, [1], 3, Flying Seahorses, [1]",,,,,https://harrypotter.fandom.com/wiki/Dragon_dung_Fertiliser,https://static.wikia.nocookie.net/harrypotter/images/7/70/Dragon_dung_fertiliser.JPG
Draught of Living Death,draught-of-living-death,"Characteristics, Turned pale lilac colour then clear, [1]","Difficulty level, Advanced, [1], [2]","Effect, Caused the drinker to fall into a deep, death-like slumber, [1]","Known ingredients, Standard potioning water, [3], Powdered Root of Asphodel, [4], Infusion of Wormwood, [4], [2], Valerian root, [1], [2], A, Sopophorous Bean, [1], [2], A, Sloth brain, [5], [2], Moondew, [6], Flower head, [6]",,,,,https://harrypotter.fandom.com/wiki/Draught_of_Living_Death,https://static.wikia.nocookie.net/harrypotter/images/e/e8/Draught_of_living_death.gif
Draught of Peace,draught-of-peace,"Characteristics, Emitted light silver vapour, [1], Turquoise blue in colour, [1], [2]","Difficulty level, Advanced, [1]","Effect, Relieved anxiety, [1]","Known ingredients, Powdered, moonstone, [1], Syrup of Hellebore, [1], [3], [2], Stewed Mandrake, [3], Powdered, unicorn horn, [3], Powdered, porcupine quills, [3], Standard potioning water, [2]",,,"Side-effects, Overdoing the ingredients may have resulted in a long or irreversible sleep, [1]","Brewing time, 90 minutes, [1]",https://harrypotter.fandom.com/wiki/Draught_of_Peace,https://static.wikia.nocookie.net/harrypotter/images/c/cf/Draught_of_Peace_HM.png
Drowsiness Draught,drowsiness-draught,"Characteristics, Produces light purple steam, [1]",,"Effect, Induces drowsiness, [1]",,,,,,https://harrypotter.fandom.com/wiki/Drowsiness_Draught,https://static.wikia.nocookie.net/harrypotter/images/9/94/Drowsiness_Draught.png
Edurus Potion,edurus-potion,"Characteristics, Gold in colour, [1]",,"Effect, Gave the drinker rocky skin, [1]","Known ingredients, 1 batch of, Ashwinder eggs, [1], 1 piece of, mongrel fur, [1]",,,,,https://harrypotter.fandom.com/wiki/Edurus_Potion,https://static.wikia.nocookie.net/harrypotter/images/9/9b/Edurus_Potion.png
Elixir 7,elixir-7,"Characteristics, Deep brown in colour, [1]",,,"Known ingredients, Alcohol, [1]",,,"Side-effects, Unknown side effects from more than five drops, [1]",,https://harrypotter.fandom.com/wiki/Elixir_7,https://static.wikia.nocookie.net/harrypotter/images/5/5e/Elixir_7.png
Elixir of Life,elixir-of-life,,,"Effect, Immortality, [1]",,"Inventor(s), Nicolas Flamel, (by inventing the, Philosopher's Stone, ), [1]","Manufacturer, The, Philosopher's Stone, [1]","Side-effects, Drinker became dependent upon advanced age, [1], [2]",,https://harrypotter.fandom.com/wiki/Elixir_of_Life,https://static.wikia.nocookie.net/harrypotter/images/2/25/Elixir_of_Life.jpg
Elixir to Induce Euphoria,elixir-to-induce-euphoria,"Characteristics, Sunshine yellow in colour, [1], Emits rainbow when finished, [2]","Difficulty level, Advanced, [1]","Effect, Induces happiness, [1]","Known ingredients, Shrivelfig, [3], Porcupine quills, [3], Peppermint, sprigs, [1], Sopophorous beans, [3], Wormwood, [3]",,,"Side-effects, Excessive singing, [1], Nose-tweaking, [1]",,https://harrypotter.fandom.com/wiki/Elixir_to_Induce_Euphoria,https://static.wikia.nocookie.net/harrypotter/images/6/65/Elixir_to_Induce_Euphoria.png
Emerald Potion,emerald-potion,"Characteristics, Emerald green in colour, [1], Glows phosphorescently, [1]",,"Effect, Induced fear, delirium, intense stomach pain and extreme thirst in the drinker, [1], [2]",,"Inventor(s), Lord Voldemort, (quite possibly), [1]","Manufacturer, Lord Voldemort, (quite possibly), [1]",,,https://harrypotter.fandom.com/wiki/Emerald_Potion,https://static.wikia.nocookie.net/harrypotter/images/4/4c/Emerald_Potion.webp
Erumpent Potion,erumpent-potion,"Characteristics, Green, [2], or orange, [1], in colour","Difficulty level, Ordinary Wizarding Level, [1]","Effect, Explodes when touched, [1]","Known ingredients, Erumpent horn, (presumably), Erumpent tail, (presumably), Exploding Fluid, (presumably)",,,,,https://harrypotter.fandom.com/wiki/Erumpent_Potion,https://static.wikia.nocookie.net/harrypotter/images/3/3a/ErumpentPotionHM.png
Essence of Insanity,essence-of-insanity,"Characteristics, Green in colour, [2]","Difficulty level, Advanced, [2]","Effect, Mental instability, [1], [2]","Known ingredients, Frog brains, [3], Beetle eyes, [3]",,,,,https://harrypotter.fandom.com/wiki/Essence_of_Insanity,https://static.wikia.nocookie.net/harrypotter/images/a/a7/Essence_of_Insanity_HM_Icon.png
Everklena,everklena,,,"Effect, Supposedly cleaned, but actually spawned mould and grime, [1]",,"Inventor(s), Erica Stainwright, [1]","Manufacturer, Erica Stainwright, [1]",,,https://harrypotter.fandom.com/wiki/Everklena,https://static.wikia.nocookie.net/harrypotter/images/f/fd/Everklena.jpg
Everlasting Elixirs,everlasting-elixirs,"Characteristics, Blue in colour, [2]","Difficulty level, Advanced, [1], [2]","Effect, Permanent, magical, effects, [1], [2]",,,,,,https://harrypotter.fandom.com/wiki/Everlasting_Elixirs,https://static.wikia.nocookie.net/harrypotter/images/7/7f/Everlasting_Elixir_HM_Icon.png
Exploding Potion,exploding-potion,"Characteristics, Acid-green, [2], or blue, [1], in colour",,"Effect, Volatile mixture, [1], [2]","Known ingredients, An, ice pop, [2], A red spider, [2], Flowers, [2]",,,,,https://harrypotter.fandom.com/wiki/Exploding_Potion,https://static.wikia.nocookie.net/harrypotter/images/6/6c/Exploding_Fluid.jpg
Exstimulo Potion,exstimulo-potion,"Characteristics, Sky blue in colour, [1]","Difficulty level, Beginner, [1]","Effect, Increased the, spell, power of a single spell cast, [1]","Known ingredients, Re'em blood, [1], Granian hair, [1], Snowdrop, [1], Bitter root, [1]",,,,"Brewing time, Two hours, [1]",https://harrypotter.fandom.com/wiki/Exstimulo_Potion,https://static.wikia.nocookie.net/harrypotter/images/e/e5/Exstimulo_Potion.png
Fake protective potions,fake-protective-potions,"Characteristics, Fraudulent solutions, [1]",,"Effect, Supposedly protect the drinker from the effects of, dark magic, (likely useless), [1]","Known ingredients, Bubotuber Pus, [1], Gravy, [1]",,,"Side-effects, Likely harmful side effects, [1]",,https://harrypotter.fandom.com/wiki/Fake_protective_potions,
Fatiguing Fusion,fatiguing-fusion,"Characteristics, Green-coloured smoke, [1]",,"Effect, Causes fatigue, [1]",,,,,,https://harrypotter.fandom.com/wiki/Fatiguing_Fusion,https://static.wikia.nocookie.net/harrypotter/images/f/fc/Fatiguing_Fusion.jpg
Felix Felicis,felix-felicis,"Characteristics, Molten gold in colour, [3], [1], [2], Droplets leap like goldfish above potion's surface when in, cauldron, [3]","Difficulty level, Advanced, [1]","Effect, Makes the drinker lucky, [1], [2]","Known ingredients, Ashwinder egg, [2], Squill bulb, [2], Murtlap tentacles, [2], Tincture of, thyme, [2], Occamy eggshell, [2], Powdered common, rue, [2]","Inventor(s), Zygmunt Budge, [2]",,"Side-effects, Giddiness and recklessness with overuse, [2], Extremely, toxic, in large quantities, [1], [2], Highly disastrous if brewed incorrectly, [2]","Brewing time, Six months, [4]",https://harrypotter.fandom.com/wiki/Felix_Felicis,https://static.wikia.nocookie.net/harrypotter/images/8/84/Felix_Felicis_Phial_HBP.png
Fergus Fungal Budge,fergus-fungal-budge,,,"Effect, Treated ringworm, fungicide, [1]","Known ingredients, Onion juice, [1], Jewelweed, [1], Neem oil, [1]",,,"Side-effects, Potential negative side effects if used by, house-elves, [1]",,https://harrypotter.fandom.com/wiki/Fergus_Fungal_Budge,https://static.wikia.nocookie.net/harrypotter/images/d/d0/Fergus_Fungal_Budge.JPG
Fire-Breathing Potion,fire-breathing-potion,"Characteristics, Fiery orange in colour, [1]",,"Effect, Makes a, human, breath, fire, [1]","Known ingredients, Mint, [1], Valerian, Sprigs, [1], Fire Seeds, [1], Powdered dragon horn, [1], Lavender, [1]",,,"Side-effects, Can burn skin, [1]",,https://harrypotter.fandom.com/wiki/Fire-Breathing_Potion,https://static.wikia.nocookie.net/harrypotter/images/6/66/HM_y2_Fire-Breathing_Potion.png
Fire-Protection Potion,fire-protection-potion,"Characteristics, Blue in colour, [2]","Difficulty level, Beginner, [3], [2]","Effect, Protects drinker from, fire, [1]","Known ingredients, Bursting mushrooms, [3], Salamander blood, [3], Wartcap powder, [3]",,,"Side-effects, Sensation of ice flooding body, [1]",,https://harrypotter.fandom.com/wiki/Fire_Protection_Potion,https://static.wikia.nocookie.net/harrypotter/images/8/8e/HM_y2_Fire_Protection_Potion.png
First Love Beguiling Bubbles,first-love-beguiling-bubbles,"Characteristics, Red in colour, [1], [2]",,"Effect, Causes the drinker to become infatuated with the giver of the potion, [1], [2]","Known ingredients, Pearl Dust, [3]","Inventor(s), Fred and George Weasley, [1], [2]",,,,https://harrypotter.fandom.com/wiki/First_Love_Beguiling_Bubbles,https://static.wikia.nocookie.net/harrypotter/images/f/f9/Beguiling_Bubbles.jpg
Flesh-Eating Slug Repellent,flesh-eating-slug-repellent,"Characteristics, Water, -clear in colour, [2]",,"Effect, Repels, Flesh-Eating Slugs, [1]",,,,,,https://harrypotter.fandom.com/wiki/Flesh-Eating_Slug_Repellent,https://static.wikia.nocookie.net/harrypotter/images/b/ba/Flesh-eating-slug-repellent-lrg.png
Focus Potion,focus-potion,"Characteristics, Blue in colour, [1]",,"Effect, Reduced cooldown effect of, spells, cast, [1]","Known ingredients, Three, lacewing flies, [1], One, fluxweed, stem, [1], One, dugbog tongue, [1]",,,,"Brewing time, 1 minute, [1]",https://harrypotter.fandom.com/wiki/Focus_Potion,https://static.wikia.nocookie.net/harrypotter/images/e/e8/Focus_Potion_HL.png
Forgetfulness Potion,forgetfulness-potion,"Characteristics, Orange in colour, [1]","Difficulty level, Beginner, [1], [2]","Effect, Memory loss, [1]","Known ingredients, 2 drops of, Lethe River Water, [1], [3], 2, valerian, sprigs, [1], [3], 2 measures of, Standard Ingredient, [1], [3], 4, mistletoe berries, [1], [3]",,,,,https://harrypotter.fandom.com/wiki/Forgetfulness_Potion,https://static.wikia.nocookie.net/harrypotter/images/a/aa/Forgetfulness-potion.png
